TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BRBI4;0,00;;0,00;0,00;0,00;94,47;45,15;61,19;0,00;8,62;-9,02;-1,20;0,00;0,00;0,00;1,35;18,07;4,55;0,78;0,25;0,75;0,07;;;;2,44;0,44;0,00;1.773.377.440,56
BRFS3;17,81;;45,76;2,17;0,34;21,03;6,23;0,87;6,38;12,24;5,84;1,99;0,40;3,82;-0,65;1,24;4,75;0,75;7,17;0,16;0,84;0,86;7,46;;145.695.756,04;8,15;0,39;-0,66;19.332.972.173,56
BRGE11;7,71;4,88;26,48;0,32;0,18;-2.524,04;-553,42;494,15;-23,65;35,23;60,30;-0,82;130,86;0,49;-0,45;2,80;1,21;0,70;-2,42;0,58;0,42;0,00;-32,32;-18,92;771,00;24,03;0,29;-0,55;602.094.168,92
BRGE12;6,95;0,01;23,87;0,29;0,17;-2.524,04;-553,42;494,15;-21,32;35,23;60,30;-0,82;117,96;0,44;-0,40;2,80;1,21;0,70;-2,42;0,58;0,42;0,00;-32,32;-18,92;1.332,40;24,03;0,29;-0,50;602.094.168,92
BRGE3;6,83;0,01;23,46;0,28;0,16;-2.524,04;-553,42;494,15;-20,95;35,23;60,30;-0,82;115,93;0,43;-0,39;2,80;1,21;0,70;-2,42;0,58;0,42;0,00;-32,32;-18,92;2.164,25;24,03;0,29;-0,49;602.094.168,92
BRGE5;9,81;3,20;33,70;0,41;0,23;-2.524,04;-553,42;494,15;-30,09;35,23;60,30;-0,82;166,51;0,62;-0,57;2,80;1,21;0,70;-2,42;0,58;0,42;0,00;-32,32;-18,92;3.444,25;24,03;0,29;-0,70;602.094.168,92
BRGE6;9,00;8,36;30,91;0,37;0,22;-2.524,04;-553,42;494,15;-27,60;35,23;60,30;-0,82;152,76;0,57;-0,52;2,80;1,21;0,70;-2,42;0,58;0,42;0,00;-32,32;-18,92;1.800,00;24,03;0,29;-0,65;602.094.168,92
BRGE7;5,40;8,13;18,55;0,22;0,13;-2.524,04;-553,42;494,15;-16,56;35,23;60,30;-0,82;91,65;0,34;-0,31;2,80;1,21;0,70;-2,42;0,58;0,42;0,00;-32,32;-18,92;;24,03;0,29;-0,39;602.094.168,92
BRGE8;9,00;3,48;30,91;0,37;0,22;-2.524,04;-553,42;494,15;-27,60;35,23;60,30;-0,82;152,76;0,57;-0,52;2,80;1,21;0,70;-2,42;0,58;0,42;0,00;-32,32;-18,92;1.770,33;24,03;0,29;-0,65;602.094.168,92
BRIT3;3,80;;751,16;1,25;0,58;44,50;10,95;0,31;21,09;22,09;0,94;0,06;2,31;2,40;-1,01;2,37;0,17;0,08;2,83;0,46;0,54;0,25;;;1.642.039,92;2,99;0,01;-8,14;1.706.560.680,80
